trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-146.34429876043302,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-143.43105300317296,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-194.32946488228396,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-171.93497268585003,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,9,-69.32910302206253,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-187.3191584207015,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,3,-107.59808694422509,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-91.80178744256287,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-118.31532353149052,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-49.9799653755924,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-67.48286634068849,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,18,-10.460382727590309,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-91.98294770710842,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-287.55340604364994,"{0: 7, 1: 3, 2: 8, 3: 4, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-166.50146444865382,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-78.41382464366242,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-134.24222719887965,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-110.36744900603333,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-52.637328239491445,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-159.50893865037332,"{0: 15, 1: 4, 2: 1, 3: 3, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,9,-126.3614197537171,"{0: 4, 1: 1, 2: 3, 3: 1, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",25,0,-63.352171595442705,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-72.59297274733166,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-174.51591879113474,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-190.24100614763285,"{0: 14, 1: 0, 2: 6, 3: 3, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-217.17107552223487,"{0: 11, 1: 1, 2: 10, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,0,-198.397923866659,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",30,0,-229.34237275368227,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-102.9164121460584,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-151.4231567278643,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
